Id,Label,modularity_class,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
"LITTLE, ABNER","LITTLE, ABNER",3,15,12,27,5,0.364598,0.38021,167.600666,0.013392
PRINCESS ZANDA,PRINCESS ZANDA,3,5,10,15,5,0.362626,0.377737,5.215206,0.007991
BLACK PANTHER/T'CHAL,BLACK PANTHER/T'CHAL,3,487,499,986,5,0.489094,0.520356,302709.195953,0.548035
"STEELE, SIMON/WOLFGA","STEELE, SIMON/WOLFGA",7,9,7,16,5,0.368631,0.384528,336.169986,0.01322
"FORTUNE, DOMINIC","FORTUNE, DOMINIC",7,9,10,19,6,0.37408,0.391029,388.219629,0.01322
"ERWIN, CLYTEMNESTRA","ERWIN, CLYTEMNESTRA",3,45,34,79,5,0.37697,0.395529,1092.280392,0.04874
IRON MAN/TONY STARK,IRON MAN/TONY STARK,3,1106,1131,2237,4,0.526366,0.578797,1417611.337515,0.842536
IRON MAN IV/JAMES R.,IRON MAN IV/JAMES R.,3,326,338,664,5,0.470348,0.497989,295341.151375,0.350496
"RAVEN, SABBATH II/EL","RAVEN, SABBATH II/EL",7,8,9,17,5,0.370602,0.386913,213.079351,0.0087
CARNIVORE/COUNT ANDR,CARNIVORE/COUNT ANDR,3,33,35,68,5,0.405222,0.425848,1697.135712,0.061913
GHOST,GHOST,3,17,29,46,5,0.387214,0.406698,628.332953,0.020929
"ZIMMER, ABE","ZIMMER, ABE",3,48,50,98,5,0.387928,0.408523,1908.573444,0.06004
FU MANCHU,FU MANCHU,0,31,23,54,6,0.355627,0.369637,5344.045097,0.029321
"TARR, BLACK JACK","TARR, BLACK JACK",0,22,22,44,6,0.363512,0.37918,5221.293683,0.008493
"SMITH, SIR DENIS NAY","SMITH, SIR DENIS NAY",0,20,20,40,6,0.344615,0.355881,10911.192331,0.010575
SHANG-CHI,SHANG-CHI,0,89,97,186,5,0.443564,0.463721,123789.724627,0.113011
STARSHINE II/BRANDY,STARSHINE II/BRANDY,0,128,103,231,5,0.416229,0.439692,257128.690166,0.163611
"ROM, SPACEKNIGHT","ROM, SPACEKNIGHT",0,142,177,319,5,0.460163,0.481224,211971.605723,0.176809
MAN-THING/THEODORE T,MAN-THING/THEODORE T,6,103,132,235,5,0.457471,0.476742,72337.180464,0.137758
"WU, LEIKO","WU, LEIKO",0,16,39,55,5,0.39232,0.412589,11357.526418,0.016883
DOCTOR DREDD,DOCTOR DREDD,0,10,7,17,6,0.343586,0.354244,68.268904,0.004009
"RESTON, CLIVE","RESTON, CLIVE",0,15,30,45,6,0.369502,0.386705,3486.518865,0.004077
"JACKSON, STEVE","JACKSON, STEVE",0,59,30,89,5,0.360738,0.376972,15749.664504,0.08546
MYSTIQUE/RAVEN DARKH,MYSTIQUE/RAVEN DARKH,4,253,284,537,5,0.465466,0.491348,90456.87399,0.278753
BLOB/FRED J. DUKES,BLOB/FRED J. DUKES,4,268,316,584,5,0.474335,0.499847,101317.001775,0.332473
TORPEDO III/BROCK JO,TORPEDO III/BROCK JO,0,171,141,312,5,0.456034,0.476155,38743.340362,0.258076
PYRO/ALLERDYCE JOHNN,PYRO/ALLERDYCE JOHNN,4,241,178,419,5,0.45366,0.476346,44245.264616,0.32122
AVALANCHE/DOMINIC PE,AVALANCHE/DOMINIC PE,4,179,203,382,5,0.443822,0.469793,38753.03733,0.267701
ROGUE /,ROGUE /,4,624,600,1224,5,0.497756,0.531587,318913.164274,0.643329
DESTINY II/IRENE ADL,DESTINY II/IRENE ADL,4,156,142,298,5,0.436297,0.459996,25273.359653,0.210201
HYBRID/JAMES JIMMY M,HYBRID/JAMES JIMMY M,0,19,16,35,6,0.34616,0.357794,324.879934,0.034941
"CLARK, SARAH","CLARK, SARAH",0,36,32,68,6,0.333771,0.344723,4272.244491,0.039587
"KILLBURN, MACK","KILLBURN, MACK",0,15,8,23,6,0.324242,0.331628,48.834252,0.011346
"JONES, TAMMY ANNE","JONES, TAMMY ANNE",0,37,28,65,5,0.357293,0.372632,3408.65581,0.059555
"JONES, LORRAINE LORR","JONES, LORRAINE LORR",0,23,42,65,5,0.409934,0.430617,2896.434635,0.010079
"JONES, NELL","JONES, NELL",0,28,27,55,5,0.357168,0.372414,2961.737829,0.050067
"JONES, DANIEL DANNY","JONES, DANIEL DANNY",0,27,36,63,5,0.40348,0.423895,3347.723553,0.017649
"CLARK, JOHN","CLARK, JOHN",0,48,21,69,6,0.340441,0.351224,2814.020119,0.039305
SUB-MARINER/NAMOR MA,SUB-MARINER/NAMOR MA,10,702,729,1431,5,0.51059,0.546898,668162.014697,0.675303
VASHTI,VASHTI,10,133,152,285,5,0.441221,0.465011,43378.067751,0.176469
SEAWEED MAN,SEAWEED MAN,10,4,1,5,6,0.283503,0.290725,0.828115,0.005856
NOVA/RICHARD RIDER,NOVA/RICHARD RIDER,1,540,482,1022,5,0.491181,0.52087,340947.630086,0.563218
FIRESTAR/ANGELICA JO,FIRESTAR/ANGELICA JO,1,466,433,899,5,0.486674,0.514981,262406.806163,0.530986
THUNDERBALL/DR. ELIO,THUNDERBALL/DR. ELIO,14,170,138,308,5,0.449149,0.470717,18641.26588,0.28296
NAMORITA/NITA PRENTI,NAMORITA/NITA PRENTI,1,406,460,866,5,0.489644,0.518478,238627.940146,0.466149
SPEEDBALL/ROBBIE BAL,SPEEDBALL/ROBBIE BAL,1,346,374,720,5,0.485049,0.510595,178517.18819,0.430956
HULK/DR. ROBERT BRUC,HULK/DR. ROBERT BRUC,6,769,802,1571,5,0.518711,0.556039,938101.893138,0.730817
NIGHT THRASHER/DUANE,NIGHT THRASHER/DUANE,1,268,264,532,5,0.471074,0.494499,115260.642495,0.272359
SPIDER-MAN/PETER PAR,SPIDER-MAN/PETER PAR,7,1277,1286,2563,5,0.544699,0.597822,2846322.011781,0.856376
JUSTICE II/VANCE AST,JUSTICE II/VANCE AST,1,366,339,705,5,0.477903,0.503654,156470.244126,0.393771
TIGRA/GREER NELSON,TIGRA/GREER NELSON,3,349,371,720,5,0.483127,0.508906,97421.200288,0.46257
WASP/JANET VAN DYNE,WASP/JANET VAN DYNE,3,779,778,1557,5,0.5136,0.551585,407903.654896,0.743726
GALACTUS/GALAN,GALACTUS/GALAN,8,291,316,607,5,0.473268,0.498768,99441.072699,0.434535
MOCKINGBIRD/DR. BARB,MOCKINGBIRD/DR. BARB,3,391,304,695,5,0.468397,0.494641,90059.635858,0.503262
SILVER SURFER/NORRIN,SILVER SURFER/NORRIN,8,495,466,961,5,0.486596,0.516694,716041.388596,0.557671
HAWK,HAWK,3,829,880,1709,5,0.515903,0.558668,1006059.829224,0.728553
LORD CHAOS,LORD CHAOS,8,99,93,192,5,0.443306,0.463106,5195.77962,0.177602
SCARLET WITCH/WANDA,SCARLET WITCH/WANDA,3,928,1002,1930,5,0.527048,0.572039,695285.327012,0.820011
QUICKSILVER/PIETRO M,QUICKSILVER/PIETRO M,3,647,615,1262,5,0.498366,0.532912,313315.248411,0.691467
UATU,UATU,2,379,316,695,5,0.482592,0.505594,113538.58417,0.51015
CAPTAIN AMERICA,CAPTAIN AMERICA,3,1428,1424,2852,5,0.551497,0.609053,2192577.22676,1
THUNDERSTRIKE/ERIC K,THUNDERSTRIKE/ERIC K,14,357,418,775,5,0.481335,0.510327,136843.636071,0.458986
WONDER MAN/SIMON WIL,WONDER MAN/SIMON WIL,3,742,728,1470,5,0.504675,0.543223,439656.332242,0.737142
DEATHLOK III/MICHAEL,DEATHLOK III/MICHAEL,7,144,119,263,6,0.441157,0.462876,116325.60124,0.202051
OBLIVION,OBLIVION,6,52,39,91,6,0.381426,0.400962,2262.663568,0.107998
WOLVERINE/LOGAN,WOLVERINE/LOGAN,4,1000,1035,2035,5,0.529657,0.5754,1331300.074342,0.813485
SHE-HULK/JENNIFER WA,SHE-HULK/JENNIFER WA,3,785,753,1538,5,0.511404,0.548934,611766.138529,0.763024
VISION,VISION,3,894,917,1811,5,0.520259,0.563377,527184.353798,0.817029
PSYLOCKE/ELISABETH B,PSYLOCKE/ELISABETH B,4,502,510,1012,5,0.489998,0.521476,202356.998883,0.53485
MARVEL GIRL/JEAN GRE,MARVEL GIRL/JEAN GRE,4,701,747,1448,5,0.507827,0.546316,523532.094181,0.649225
STORM/ORORO MUNROE S,STORM/ORORO MUNROE S,4,810,770,1580,5,0.511447,0.549773,528693.718734,0.756002
ETERNITY/ADAM QADMON,ETERNITY/ADAM QADMON,8,243,200,443,5,0.465928,0.487017,25407.6591,0.376972
KISMET/J'RIDIA STARD,KISMET/J'RIDIA STARD,6,156,114,270,5,0.44408,0.465175,33349.499158,0.246603
IN-BETWEENER,IN-BETWEENER,8,53,60,113,6,0.410679,0.432344,5049.809681,0.096235
MR. FANTASTIC/REED R,MR. FANTASTIC/REED R,2,1001,957,1958,5,0.525776,0.568875,964904.316761,0.833186
ANGEL/WARREN KENNETH,ANGEL/WARREN KENNETH,4,813,748,1561,5,0.508631,0.546808,532589.859124,0.761931
DEATH,DEATH,8,176,194,370,5,0.469913,0.489681,19094.776523,0.31278
MASTER ORDER,MASTER ORDER,8,72,94,166,5,0.439663,0.460228,7847.225568,0.148048
JUBILEE/JUBILATION L,JUBILEE/JUBILATION L,4,316,333,649,5,0.455932,0.486798,243055.331708,0.310658
THING/BENJAMIN J. GR,THING/BENJAMIN J. GR,2,1020,1003,2023,5,0.527367,0.572345,1008216.632001,0.849299
INVISIBLE WOMAN/SUE,INVISIBLE WOMAN/SUE,2,877,919,1796,5,0.523609,0.56544,731404.147833,0.788824
INFINITY II,INFINITY II,8,79,72,151,5,0.431971,0.45238,2274.702535,0.125884
PUNISHER II/FRANK CA,PUNISHER II/FRANK CA,7,339,345,684,5,0.478541,0.504487,750203.059682,0.271083
ANDROMEDA/ANDROMEDA,ANDROMEDA/ANDROMEDA,6,88,77,165,5,0.42755,0.44874,7557.592747,0.16815
BEAST/HENRY &HANK& P,BEAST/HENRY &HANK& P,4,922,918,1840,5,0.522219,0.564675,821231.799254,0.800449
GHOST RIDER III/DAN,GHOST RIDER III/DAN,6,181,221,402,5,0.462326,0.485563,262249.346608,0.186284
CYCLOPS/SCOTT SUMMER,CYCLOPS/SCOTT SUMMER,4,803,811,1614,5,0.515903,0.554878,521798.111646,0.768123
LIVING LASER/ARTHUR,LIVING LASER/ARTHUR,3,55,39,94,5,0.398784,0.419408,989.212666,0.102264
"CABE, BETHANY","CABE, BETHANY",3,71,77,148,5,0.397951,0.420337,4071.879528,0.093949
SPYMASTER/JAKE JORDA,SPYMASTER/JAKE JORDA,3,38,15,53,5,0.364969,0.380702,269.379001,0.038108
"HOGAN, VIRGINIA PEPP","HOGAN, VIRGINIA PEPP",3,175,171,346,5,0.429295,0.45561,60886.052484,0.189281
"HOGAN, HAROLD J. HAP","HOGAN, HAROLD J. HAP",3,165,140,305,5,0.424337,0.449535,41723.518382,0.216331
BATROC/GEORGES BATRO,BATROC/GEORGES BATRO,3,119,100,219,6,0.419608,0.442797,39344.394028,0.131308
"CARTER, SHARON","CARTER, SHARON",3,174,184,358,5,0.443338,0.468631,59218.670631,0.176683
KARNILLA [ASGARDIAN],KARNILLA [ASGARDIAN],14,133,126,259,5,0.437361,0.459906,12901.832475,0.168205
HEIMDALL [ASGARDIAN],HEIMDALL [ASGARDIAN],14,179,189,368,5,0.432768,0.459898,23551.487058,0.192047
ENCHANTRESS/AMORA/HE,ENCHANTRESS/AMORA/HE,14,229,235,464,5,0.460094,0.484571,61199.357358,0.322331
LOKI [ASGARDIAN],LOKI [ASGARDIAN],14,321,294,615,5,0.472791,0.497415,92493.937722,0.388957
NIGHTMARE/EDVARD HAB,NIGHTMARE/EDVARD HAB,6,100,93,193,6,0.428541,0.450732,29000.230235,0.135876
ZANIAC/BRAD WOLFE,ZANIAC/BRAD WOLFE,14,3,7,10,6,0.345709,0.356895,0,0.003016
THOR/DR. DONALD BLAK,THOR/DR. DONALD BLAK,14,966,947,1913,5,0.52307,0.566716,957441.585518,0.815439
SONIC,SONIC,1,15,15,30,5,0.388521,0.406987,191.46745,0.022623
CHAIN,CHAIN,1,12,17,29,6,0.378561,0.39642,208.673867,0.023386
SPIDER-WOMAN II/JULI,SPIDER-WOMAN II/JULI,3,286,320,606,5,0.472388,0.498453,103649.364855,0.376931
"CARPENTER, RACHEL","CARPENTER, RACHEL",3,61,65,126,5,0.409027,0.430967,4764.596547,0.09572
GRASP,GRASP,1,14,19,33,5,0.388917,0.407862,219.382036,0.020946
"CLEMSON, MIKE","CLEMSON, MIKE",3,20,30,50,5,0.385622,0.40484,96.965909,0.039585
"COOPER, DR. VALERIE","COOPER, DR. VALERIE",4,347,372,719,5,0.473782,0.502479,142305.461723,0.42118
"CARPENTER, LARRY","CARPENTER, LARRY",3,33,30,63,5,0.385378,0.404525,665.363134,0.049513
RED GUARDIAN III/DR.,RED GUARDIAN III/DR.,6,101,115,216,5,0.443145,0.4643,8789.403306,0.146071
DR. STRANGE/STEPHEN,DR. STRANGE/STEPHEN,6,753,775,1528,5,0.513168,0.551093,1085335.930173,0.683959
DOLLAR BILL,DOLLAR BILL,6,33,41,74,6,0.405842,0.426223,597.193585,0.066119
HELLCAT/PATSY WALKER,HELLCAT/PATSY WALKER,6,268,269,537,5,0.472278,0.495557,71580.607828,0.394103
NIGHTHAWK II/KYLE RI,NIGHTHAWK II/KYLE RI,6,192,184,376,5,0.458571,0.480431,25828.006855,0.281832
DEVIL-SLAYER/ERIC SI,DEVIL-SLAYER/ERIC SI,6,110,106,216,5,0.447666,0.467497,20337.769676,0.217764
"NORRISS, SISTER BARB","NORRISS, SISTER BARB",6,309,271,580,5,0.474852,0.497483,76880.891785,0.433335
"BANNER, BETTY ROSS T","BANNER, BETTY ROSS T",6,253,254,507,5,0.466713,0.490542,146820.669292,0.317638
"ROSS, GEN. THADDEUS","ROSS, GEN. THADDEUS",6,215,241,456,5,0.461451,0.485992,112333.393844,0.307741
COBALT MAN,COBALT MAN,6,16,22,38,6,0.3753,0.393023,144.091114,0.033956
MASTERMIND/JASON WYN,MASTERMIND/JASON WYN,4,110,88,198,5,0.422515,0.444789,5375.155802,0.171693
"ROBERTS, TED","ROBERTS, TED",4,19,22,41,6,0.390936,0.410321,359.979804,0.035382
"ARMBRUSTER, COLONEL","ARMBRUSTER, COLONEL",6,16,20,36,6,0.381856,0.400186,602.860458,0.018813
GORGON [INHUMAN],GORGON [INHUMAN],2,238,350,588,5,0.479632,0.505326,91318.370168,0.293672
LOCKJAW [INHUMAN],LOCKJAW [INHUMAN],2,276,258,534,5,0.461277,0.486675,73965.266905,0.38984
CRYSTAL [INHUMAN],CRYSTAL [INHUMAN],2,504,509,1013,5,0.489919,0.521422,215881.009472,0.555006
BLACK BOLT/BLACKANTO,BLACK BOLT/BLACKANTO,2,255,338,593,5,0.478691,0.50396,89340.601626,0.305691
TRITON,TRITON,2,251,334,585,5,0.476931,0.50247,84171.753135,0.313777
KARNAK [INHUMAN],KARNAK [INHUMAN],2,320,284,604,5,0.463591,0.490015,104644.486692,0.416015
WARLOCK II/ADAM WARL,WARLOCK II/ADAM WARL,8,232,209,441,5,0.463626,0.485733,33478.483586,0.36679
ANALYZER,ANALYZER,14,81,77,158,6,0.392597,0.415344,3167.42495,0.094907
MAN-BEAST,MAN-BEAST,4,72,80,152,5,0.411844,0.434552,10147.908555,0.108816
ABOMINATION/EMIL BLO,ABOMINATION/EMIL BLO,6,123,106,229,5,0.432891,0.454995,131967.156616,0.20254
RHINO,RHINO,7,190,211,401,5,0.468074,0.489299,73659.767551,0.213277
"WILSON, JIM","WILSON, JIM",6,33,57,90,5,0.4101,0.431655,1588.518686,0.048832
JUGGERNAUT/CAIN MARK,JUGGERNAUT/CAIN MARK,4,190,182,372,5,0.455625,0.478327,47805.577735,0.267034
PROFESSOR X/CHARLES,PROFESSOR X/CHARLES,4,760,756,1516,5,0.507658,0.546603,476616.488693,0.733637
"CORBEAU, DR. PETER","CORBEAU, DR. PETER",4,139,115,254,5,0.433445,0.456102,11620.593368,0.223604
"BRICKFORD, CLAY","BRICKFORD, CLAY",0,10,22,32,6,0.349553,0.363494,396.771772,0.016892
MISSING LINK,MISSING LINK,0,12,15,27,6,0.335442,0.345783,292.989345,0.021741
"STACY, PAUL","STACY, PAUL",7,54,44,98,6,0.360099,0.376332,3074.598827,0.036695
VENOM/EDDIE BROCK,VENOM/EDDIE BROCK,7,92,121,213,6,0.423101,0.447587,30242.919455,0.086358
"PARKER, MAY","PARKER, MAY",7,355,328,683,5,0.460128,0.48975,224161.646028,0.290345
"STACY, ARTHUR","STACY, ARTHUR",7,72,64,136,6,0.383754,0.404782,3670.556028,0.05722
"STACY, JILL","STACY, JILL",7,117,89,206,6,0.398445,0.42167,19371.186918,0.110506
BLADE,BLADE,6,40,31,71,6,0.372072,0.389905,11111.92729,0.023767
"ROBERTSON, JOE","ROBERTSON, JOE",7,454,444,898,5,0.48069,0.51136,320677.796649,0.385179
"FORTUNATO, GIACOMO J","FORTUNATO, GIACOMO J",7,32,53,85,6,0.366945,0.385153,2034.072022,0.024903
MORBIUS/DR. MICHAEL,MORBIUS/DR. MICHAEL,7,86,76,162,6,0.410155,0.432746,52438.329491,0.125115
"LEEDS, BETTY BRANT","LEEDS, BETTY BRANT",7,297,278,575,5,0.451945,0.480704,146919.453463,0.247956
KINGPIN/WILSON FISK,KINGPIN/WILSON FISK,7,328,312,640,5,0.456409,0.486061,255515.609278,0.274763
"GARTH, DONNA","GARTH, DONNA",6,8,9,17,6,0.354366,0.367279,8396.214735,0.003354
ZOMBIE/SIMON GARTH,ZOMBIE/SIMON GARTH,6,10,4,14,7,0.272119,0.27873,162.002832,0.010065
"WATSON-PARKER, MARY","WATSON-PARKER, MARY",7,588,553,1141,5,0.487491,0.522195,661141.314139,0.408739
"WATSON, ANNA","WATSON, ANNA",7,180,207,387,6,0.425017,0.45396,59585.248636,0.143995
"SPAULDING, PETER","SPAULDING, PETER",0,33,19,52,5,0.371686,0.388556,7062.312062,0.044554
MACHINE MAN/X-51,MACHINE MAN/X-51,3,171,210,381,5,0.469985,0.490665,37770.523014,0.303197
JOCASTA,JOCASTA,3,139,132,271,5,0.440711,0.463125,25419.982391,0.224179
"GARVIN, GEARS","GARVIN, GEARS",3,22,33,55,5,0.402044,0.422053,768.029883,0.039287
ULTRON,ULTRON,3,141,138,279,5,0.4476,0.469227,13656.989516,0.24469
"CALDRONE, JAVIER","CALDRONE, JAVIER",7,18,28,46,5,0.394885,0.414808,7820.970167,0.041225
"JAMESON, J. JONAH","JAMESON, J. JONAH",7,631,637,1268,5,0.504008,0.537689,743994.900356,0.510856
DOLMAN,DOLMAN,7,18,16,34,6,0.366968,0.383055,208.535526,0.01988
"URICH, BEN","URICH, BEN",7,268,263,531,6,0.45121,0.479177,120792.742973,0.203324
"KWAN, TERRY","KWAN, TERRY",7,33,18,51,6,0.365472,0.381374,3059.591301,0.075123
OVERRIDE/DR. GREGORY,OVERRIDE/DR. GREGORY,7,52,32,84,6,0.367211,0.384298,1330.868916,0.036782
ICEMAN/ROBERT BOBBY,ICEMAN/ROBERT BOBBY,4,702,689,1391,5,0.506477,0.542204,388633.928092,0.687473
"THOMPSON, EUGENE FLA","THOMPSON, EUGENE FLA",7,247,251,498,5,0.446225,0.474507,91110.569388,0.200503
"THORSON, DR. WALTER","THORSON, DR. WALTER",7,24,12,36,6,0.373073,0.390023,150.6965,0.064282
"MAXWELL, MORRIS","MAXWELL, MORRIS",7,21,23,44,6,0.366571,0.383,684.832855,0.019322
"LUMLEY, JUDY","LUMLEY, JUDY",7,1,12,13,6,0.365078,0.380568,0,0.00026
"GRANT, GLORIA GLORY","GRANT, GLORIA GLORY",7,192,159,351,6,0.412262,0.439569,29099.348435,0.13555
"FAIRMONT, HANNAH","FAIRMONT, HANNAH",14,63,69,132,5,0.407252,0.429368,4809.154722,0.076291
"MCCORMICK, BARRY","MCCORMICK, BARRY",7,3,4,7,6,0.338232,0.347907,0,0.009256
TOKKOTS,TOKKOTS,14,19,28,47,6,0.369905,0.386957,965.306576,0.024259
STAR THIEF II,STAR THIEF II,6,7,2,9,6,0.340498,0.349986,0,0.011204
GARGOYLE II/ISAAC CH,GARGOYLE II/ISAAC CH,6,175,207,382,5,0.46458,0.486252,45993.051304,0.286367
KUBIK,KUBIK,2,17,24,41,6,0.387336,0.406736,114.700619,0.027469
CLOUD,CLOUD,6,28,33,61,6,0.39174,0.411764,714.568747,0.037454
MANSLAUGHTER,MANSLAUGHTER,6,17,23,40,6,0.373667,0.391102,291.770411,0.031565
"SOUTHERN, CANDY","SOUTHERN, CANDY",4,115,102,217,6,0.40679,0.430713,18987.530444,0.178093
INTERLOPER,INTERLOPER,6,14,22,36,6,0.37214,0.389299,203.746232,0.027306
MOONDRAGON/HEATHER D,MOONDRAGON/HEATHER D,3,396,433,829,5,0.484163,0.513073,188398.540787,0.497104
DRAGON OF THE MOON,DRAGON OF THE MOON,6,13,3,16,6,0.343277,0.353547,6.179509,0.029733
HUMAN TORCH/JOHNNY S,HUMAN TORCH/JOHNNY S,2,977,962,1939,5,0.526275,0.569416,904084.499429,0.82014
BEYONDER,BEYONDER,4,149,164,313,5,0.456409,0.477726,15331.851016,0.259598
DR. OCTOPUS/OTTO OCT,DR. OCTOPUS/OTTO OCT,7,157,190,347,5,0.454099,0.477425,46203.749466,0.221833
"WARD, SEN. STEWART","WARD, SEN. STEWART",7,33,25,58,6,0.371732,0.389285,536.754521,0.059186
BULLSEYE II/BENJAMIN,BULLSEYE II/BENJAMIN,7,63,47,110,6,0.395731,0.416801,14957.867857,0.05371
MISTER HYDE/CALVIN Z,MISTER HYDE/CALVIN Z,3,154,118,272,5,0.430964,0.454181,13668.28386,0.222167
COACHWHIP,COACHWHIP,3,61,44,105,6,0.387829,0.407988,1117.238114,0.088357
COBRA/KLAUS VORHEES,COBRA/KLAUS VORHEES,3,115,184,299,5,0.447239,0.471446,16098.259294,0.138621
ASP II/CLEO,ASP II/CLEO,3,98,112,210,5,0.390186,0.414535,7324.126348,0.099231
BUSHMASTER II/QUINCY,BUSHMASTER II/QUINCY,3,44,69,113,5,0.393611,0.4155,3119.070438,0.047959
FER DE LANCE/TERESA,FER DE LANCE/TERESA,3,46,53,99,5,0.398211,0.419367,554.858442,0.055679
BLACK MAMBA/TANYA SE,BLACK MAMBA/TANYA SE,3,112,127,239,5,0.407551,0.432546,7178.983982,0.115296
BLACK RACER/,BLACK RACER/,3,51,45,96,5,0.389837,0.410198,801.3683,0.056665
ROCK PYTHON,ROCK PYTHON,3,35,66,101,5,0.40308,0.425023,1890.278025,0.03402
ANACONDA/BLANCHE SIT,ANACONDA/BLANCHE SIT,3,122,104,226,5,0.407851,0.431849,9539.114748,0.121887
PUFF ADDER,PUFF ADDER,3,50,66,116,5,0.39881,0.420665,1079.782214,0.064159
BOOMSLANG/,BOOMSLANG/,3,55,51,106,6,0.392926,0.413808,713.516529,0.073425
RATTLER,RATTLER,3,76,68,144,5,0.398497,0.420432,2452.25318,0.090747
COPPERHEAD III/DAVIS,COPPERHEAD III/DAVIS,3,39,47,86,5,0.39174,0.412193,406.041646,0.049383
"MOREAU, DAVID","MOREAU, DAVID",4,40,39,79,6,0.38929,0.409368,246.271539,0.076437
"RANSOME, JENNIFER AM","RANSOME, JENNIFER AM",4,71,91,162,5,0.416428,0.439414,4306.178531,0.119213
"MOREAU, PHILLIP","MOREAU, PHILLIP",4,70,78,148,5,0.407442,0.430046,2517.194299,0.109326
HAVOK/ALEX SUMMERS,HAVOK/ALEX SUMMERS,4,610,530,1140,5,0.490707,0.523129,1326400.825151,0.585076
WIPEOUT,WIPEOUT,4,34,40,74,6,0.389812,0.409983,165.752558,0.071676
DAZZLER II/ALLISON B,DAZZLER II/ALLISON B,4,231,317,548,5,0.477043,0.501651,71523.817453,0.318505
LONGSHOT,LONGSHOT,4,143,173,316,5,0.448028,0.471673,76558.67923,0.204304
"SUMMERS, MADELYNE MA","SUMMERS, MADELYNE MA",4,179,169,348,5,0.434773,0.460242,77505.413535,0.233477
COLOSSUS II/PETER RA,COLOSSUS II/PETER RA,4,751,760,1511,5,0.51179,0.549426,397609.894892,0.727689
MALICE IV,MALICE IV,4,44,54,98,6,0.378585,0.398314,312.916289,0.068091
"SUMMERS, NATHAN CHRI","SUMMERS, NATHAN CHRI",4,413,422,835,5,0.474003,0.505517,370528.680637,0.408872
POLARIS/LORNA DANE,POLARIS/LORNA DANE,4,408,446,854,5,0.485203,0.514603,146319.335647,0.481632
MR. SINISTER/NATHAN,MR. SINISTER/NATHAN,4,110,142,252,6,0.432002,0.456364,35611.674223,0.136053
N'ASTIRH,N'ASTIRH,4,90,62,152,6,0.40372,0.42548,2555.264428,0.152717
GATEWAY,GATEWAY,4,103,134,237,6,0.413155,0.438801,8089.80646,0.104314
"TILBY, TRISH/PATRICI","TILBY, TRISH/PATRICI",4,201,188,389,6,0.447469,0.47225,45624.849322,0.280677
"CONOVER, REV. WILLIA","CONOVER, REV. WILLIA",4,8,12,20,6,0.359039,0.37331,1.660764,0.01276
"CONOVER, HANNAH","CONOVER, HANNAH",4,11,12,23,6,0.359462,0.373802,32.200049,0.025945
WOLFSBANE/RAHNE SINC,WOLFSBANE/RAHNE SINC,4,380,417,797,5,0.483894,0.512117,170925.734402,0.460951
WARLOCK III,WARLOCK III,4,198,226,424,5,0.463979,0.487003,37354.399783,0.26999
SUNSPOT/ROBERTO DACO,SUNSPOT/ROBERTO DACO,4,403,349,752,6,0.464049,0.494002,236683.566059,0.404732
MAGIK/ILLYANA RASPUT,MAGIK/ILLYANA RASPUT,4,187,207,394,5,0.448555,0.473845,27859.724245,0.26649
MAGNETO/MAGNUS/ERIC,MAGNETO/MAGNUS/ERIC,4,400,393,793,5,0.482936,0.510122,112742.205079,0.478092
CANNONBALL II/SAM GU,CANNONBALL II/SAM GU,4,471,458,929,5,0.485821,0.515669,302443.412821,0.436767
MIRAGE II/DANIELLE M,MIRAGE II/DANIELLE M,4,284,283,567,5,0.463168,0.489586,147502.798214,0.313752
S'YM,S'YM,4,95,88,183,6,0.40316,0.426474,10463.749548,0.143411
"GRIFFITH, D.W.","GRIFFITH, D.W.",10,40,55,95,5,0.411928,0.433344,16166.700838,0.040608
MACE,MACE,10,6,4,10,6,0.358701,0.372247,128.453712,0.005435
"CAGE, LUKE/CARL LUCA","CAGE, LUKE/CARL LUCA",10,450,401,851,5,0.486596,0.513169,336913.68074,0.494762
PIPELINE/CORMICK GRI,PIPELINE/CORMICK GRI,4,88,70,158,5,0.411344,0.433462,4723.776713,0.141484
PUNCHOUT,PUNCHOUT,4,31,19,50,6,0.368475,0.385025,352.19831,0.058171
HAWKSHAW,HAWKSHAW,4,44,34,78,6,0.383802,0.402894,846.389206,0.077662
MOLECULE MAN/OWEN RE,MOLECULE MAN/OWEN RE,14,112,118,230,5,0.445703,0.466576,5915.145634,0.216366
"JARVIS, EDWIN","JARVIS, EDWIN",3,633,707,1340,5,0.504133,0.541693,397618.964177,0.611234
GHOST RIDER II/JOHNN,GHOST RIDER II/JOHNN,6,182,197,379,5,0.455966,0.479174,181968.224302,0.224419
ANT-MAN/DR. HENRY J.,ANT-MAN/DR. HENRY J.,3,738,775,1513,5,0.50547,0.546338,450087.808493,0.711084
"ARBOGAST, BAMBI","ARBOGAST, BAMBI",3,133,116,249,5,0.430447,0.453897,34399.029643,0.153517
EGGHEAD/PROF. ELIHAS,EGGHEAD/PROF. ELIHAS,3,46,51,97,5,0.42824,0.448218,2168.664565,0.095704
"STARR, TRIXIE TRISH","STARR, TRIXIE TRISH",6,38,35,73,6,0.390736,0.410748,489.233394,0.06142
