Id,Label,modularity_class,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
"JONES, DRUCILLA","JONES, DRUCILLA",6,11,7,18,6,0.30789,0.315839,0,0.003409
MYSTERIUM/DR. JOSEPH,MYSTERIUM/DR. JOSEPH,6,10,8,18,6,0.307921,0.315948,0,0.003333
"JONES, KATIE","JONES, KATIE",6,9,9,18,6,0.307953,0.316057,0,0.003258
CROWLEY,CROWLEY,6,7,11,18,6,0.307999,0.316249,0,0.00275
NIGHTHAWK III/NEAL,NIGHTHAWK III/NEAL,6,5,13,18,6,0.309578,0.317896,0,0.001879
SKYMAX/SK'YM'X/JAMES,SKYMAX/SK'YM'X/JAMES,6,4,14,18,6,0.30961,0.318006,0,0.001814
"STEWART, TINA","STEWART, TINA",6,2,16,18,6,0.309657,0.318197,0,0.001336
"WILSON, MERCEDES","WILSON, MERCEDES",7,10,12,22,6,0.337539,0.347163,357.084178,0.003807
"GRUNCH, ALESTAIRE FI","GRUNCH, ALESTAIRE FI",7,9,11,20,6,0.332806,0.342444,227.893725,0.001601
HAYDEN,HAYDEN,3,9,10,19,6,0.330104,0.338239,301.494155,0.005828
ECLECTA/,ECLECTA/,3,11,5,16,6,0.312849,0.321077,40.273493,0.005989
PYRON/,PYRON/,3,10,3,13,6,0.320814,0.327494,17.599321,0.004925
UNICORN III/,UNICORN III/,3,3,7,10,6,0.32861,0.336522,0,0.000753
MALOVICK/,MALOVICK/,3,5,9,14,6,0.328645,0.336686,76.310808,0.002431
QUEEN KNORDA/NORA QU,QUEEN KNORDA/NORA QU,2,15,21,36,5,0.390736,0.410089,207.004127,0.051955
URTHONA,URTHONA,6,6,4,10,6,0.35513,0.367866,2.495101,0.007022
KALUU,KALUU,6,7,0,7,0,0,0,0,0.01129
"HEYWERTH, GENERAL","HEYWERTH, GENERAL",3,31,24,55,6,0.378373,0.396396,352.025884,0.066345
"FITZROY, TREVOR","FITZROY, TREVOR",4,66,34,100,6,0.365647,0.382653,26996.683074,0.070875
JAM/JASMINE ARCHER,JAM/JASMINE ARCHER,6,10,21,31,6,0.365867,0.381623,7556.901635,0.009193
MARITA,MARITA,6,18,10,28,6,0.356417,0.369719,919.804773,0.018034
ROUST,ROUST,6,28,23,51,6,0.367299,0.383609,29134.497109,0.016365
BUX,BUX,6,16,14,30,6,0.362216,0.376832,1233.984516,0.01505
SUWAN,SUWAN,3,20,19,39,6,0.368497,0.385235,940.804719,0.028722
"O'HARA, GERALD","O'HARA, GERALD",10,0,3,3,6,0.317791,0.32429,0,0
RAGA-SHAH,RAGA-SHAH,10,3,0,3,0,0,0,0,0.001203
"MCSHANE, PATRICK","MCSHANE, PATRICK",10,2,1,3,1,1,1,0,0.001143
"JEFFERSON, DR.","JEFFERSON, DR.",7,8,3,11,6,0.354305,0.366992,0.15174,0.019024
WIDE LOAD ANNIE/ANNI,WIDE LOAD ANNIE/ANNI,6,7,13,20,6,0.353381,0.366063,236.842868,0.004962
POPPA WHEELER,POPPA WHEELER,6,12,10,22,6,0.338777,0.348543,234.300256,0.011045
"MCGRILL, MARY","MCGRILL, MARY",6,10,9,19,6,0.353176,0.365585,231.168931,0.005841
XEMNU,XEMNU,6,23,13,36,6,0.365977,0.381524,2022.145295,0.055849
